package,previous,latest,High-Detect,Medium-Detect,High-TP,Medium-TP,High-Undocument,Medium-Undocument,High-Report,Medium-Report,High-Confirm,Medium-Confirm
bentoml,0.12.1,0.13.1,,,,,,,,,,
clyngor,0.4.0,0.4.1,,,,,,,,,,
Flask,2.1.1,2.1.2,0,0,,,,,,,,
betfairlightweight,2.16.3,2.16.4,0,0,,,,,,,,
catkin_tools,0.8.4,0.8.5,0,0,,,,,,,,
click,8.1.2,8.1.3,0,0,,,,,,,,
docspec,2.0.0,2.0.1,0,0,,,,,,,,
meshio,5.3.3,5.3.4,0,0,,,,,,,,
paramiko,2.10.3,2.10.4,0,0,,,,,,,,
requests,2.27.0,2.27.1,0,0,,,,,,,,
resolvelib,0.8.0,0.8.1,0,0,,,,,,,,
pandas,1.4.1,1.4.2,0,0,,,,,,,,
matplotlib,3.5.1,3.5.2,0,0,,,,,,,,
numpy,1.22.2,1.22.3,0,0,,,,,,,,
trio,0.19.0,0.20.0,2,0,0,0,,,,,,
python-dateutil,2.8.1,2.8.2,12,0,0,0,,,,,,
asyncpg,0.24.0,0.25.0,0,1,0,1,0,0,,,,
pystac,1.3.0,1.4.0,0,4,0,4,0,0,,,,
urllib3,1.26.8,1.26.9,0,1,0,1,0,0,,,,
xarray,0.21.1,2022.3.0,6,18,6,18,0,0,,,,
Jinja2,3.1.1,3.1.2,9,4,9,3,0,0,,,,
PyJWT,2.2.0,2.3.0,6,0,6,0,0,0,,,,
PyYAML,5.4.1,6,4,0,4,0,0,0,,,,
scikit-learn,1.0.1,1.0.2,3,1,1,1,0,0,,,,
Scrapy,2.6.0,2.6.1,0,0,0,0,0,0,,,,
ao3-api,2.2.0,2.2.1,16,4,16,4,0,0,,,,
captum,0.4.1,0.5.0,13,4,13,4,0,0,,,,
harvesters,1.3.5,1.3.6,2,3,2,3,0,0,,,,
humanize,3.14.0,4.0.0,9,0,9,0,0,0,,,,
jmespath,0.10.0,1.0.0,3,0,3,0,0,0,,,,
markupsafe,2.1.0,2.1.1,0,0,0,0,0,0,,,,
pecanpy,2.0.1,2.0.2,27,0,27,0,0,0,,,,
pooch,1.5.2,1.6.0,0,2,0,2,0,0,,,,
Django,4.0.3,4.0.4,1,3,1,3,0,0,,,,
appcenter,2.1.2,3.0.0,47,4,47,4,47,4,0,0,,
diffsync,1.4.2,1.4.3,3,0,3,0,3,0,3,0,3,0
evidently,0.1.48.dev0,0.1.49.dev0,8,1,8,1,8,1,8,1,8,1
gradio,2.9.3,2.9.4,0,1,0,1,0,1,0,1,0,1
prompt_toolkit,3.0.28,3.0.29,8,4,8,4,8,1,8,1,,
pyoverkiz,1.3.14,1.4.0,6,35,6,35,6,3,6,3,6,3
python-binance,1.0.15,1.0.16,17,6,17,6,0,4,0,4,,
rpyc,5.0.1,5.1.0,3,3,3,3,3,0,3,0,3,0
stonesoup,0.1b7,0.1b8,73,2,72,0,6,0,6,0,4,0
astroquery,0.4.5,0.4.6,22,12,22,12,14,1,14,1,1,1
tornado,6.0.4,6.1,12,8,11,1,4,0,4,0,0,0
